,Word,Group,F_value,J_value,Concreteness
0,shirt,A,abstract,concrete,concrete
1,infinity,A,abstract,concrete
2,gas,A,abstract,concrete,concrete
3,grasshopper,A,abstract,concrete
4,marriage,A,abstract,concrete,neutral
5,kick,A,abstract,concrete,concrete
6,polite,A,abstract,concrete,abstract
7,whistle,A,abstract,concrete,concrete
8,theory,A,abstract,concrete,abstract
9,sugar,A,abstract,concrete,concrete
10,shirt,B,concrete,abstract,concrete
11,infinity,B,concrete,abstract
12,gas,B,concrete,abstract,concrete
13,grasshopper,B,concrete,abstract
14,marriage,B,concrete,abstract,neutral
15,kick,B,concrete,abstract,concrete
16,polite,B,concrete,abstract,abstract
17,whistle,B,concrete,abstract,concrete
18,theory,B,concrete,abstract,abstract
19,sugar,B,concrete,abstract,concrete
