,Word,Group,F_value,J_value
0,shirt,A,abstract,concrete
1,infinity,A,abstract,concrete
2,gas,A,abstract,concrete
3,grasshopper,A,abstract,concrete
4,marriage,A,abstract,concrete
5,kick,A,abstract,concrete
6,polite,A,abstract,concrete
7,whistle,A,abstract,concrete
8,theory,A,abstract,concrete
9,sugar,A,abstract,concrete
10,shirt,B,concrete,abstract
11,infinity,B,concrete,abstract
12,gas,B,concrete,abstract
13,grasshopper,B,concrete,abstract
14,marriage,B,concrete,abstract
15,kick,B,concrete,abstract
16,polite,B,concrete,abstract
17,whistle,B,concrete,abstract
18,theory,B,concrete,abstract
19,sugar,B,concrete,abstract
